ISCO_88_Title_EN,ISCO_88_code,soc10,soc10_title,dup_flag,var6,
"Glass-makers, cutters, grinders and finishers",7322,271023,Floral Designers,0,1,
"Glass-makers, cutters, grinders and finishers",7322,519022,"Grinding and Polishing Workers, Hand",0,,
"Glass-makers, cutters, grinders and finishers",7322,519031,"Cutters and Trimmers, Hand",0,,
"Glass-makers, cutters, grinders and finishers",7322,519083,Ophthalmic Laboratory Technicians,0,,
"Glass-makers, cutters, grinders and finishers",7322,519195,"Molders, Shapers, and Casters, Except Metal and Plastic",0,,
Glass engravers and etchers,7323,519194,Etchers and Engravers,0,,
"Glass, ceramics and related decorative painters",7324,519123,"Painting, Coating, and Decorating Workers",1,,
,7330,517099,"Woodworkers, All Other",1,,
Handicraft workers in wood and related materials,7331,271012,Craft Artists,0,,
Handicraft workers in wood and related materials,7331,517099,"Woodworkers, All Other",0,,
"Handicraft workers in textile, leather and related materials",7332,516041,Shoe and Leather Workers and Repairers,0,,
,7340,515112,Printing Press Operators,2,,
"Compositors, typesetters and related workers",7341,515111,Prepress Technicians and Workers,0,,
