ISCO_88_Title_EN,ISCO_88_code,soc10,soc10_title,dup_flag,var6,
Cashiers and ticket clerks,4211,393012,Gaming and Sports Book Writers and Runners,0,,
Cashiers and ticket clerks,4211,393019,"Gaming Service Workers, All Other",0,,
Cashiers and ticket clerks,4211,412011,Cashiers,0,,
Cashiers and ticket clerks,4211,412012,Gaming Change Persons and Booth Cashiers,0,,
Cashiers and ticket clerks,4211,433041,Gaming Cage Workers,0,,
Cashiers and ticket clerks,4211,433071,Tellers,0,,
Tellers and other counter clerks,4212,435051,Postal Service Clerks,0,,
Bookmakers and croupiers,4213,391012,Slot Supervisors,0,,
Pawnbrokers and money-lenders,4214,419099,"Sales and Related Workers, All Other",0,,
Pawnbrokers and money-lenders,4214,433099,"Financial Clerks, All Other",0,,
Debt-collectors and related workers,4215,131131,Fundraisers,0,,
Debt-collectors and related workers,4215,433011,Bill and Account Collectors,0,,
Travel agency and related clerks,4221,413041,Travel Agents,0,,
Receptionists and information clerks,4222,396012,Concierges,0,,
Receptionists and information clerks,4222,432099,"Communications Equipment Operators, All Other",0,,
Receptionists and information clerks,4222,434021,Correspondence Clerks,0,,
Receptionists and information clerks,4222,434051,Customer Service Representatives,0,,
Receptionists and information clerks,4222,434061,"Eligibility Interviewers, Government Programs",0,,
Receptionists and information clerks,4222,434081,"Hotel, Motel, and Resort Desk Clerks",0,,
Receptionists and information clerks,4222,434171,Receptionists and Information Clerks,2,,
Receptionists and information clerks,4222,434199,"Information and Record Clerks, All Other",0,,
Telephone switchboard operators,4223,432011,"Switchboard Operators, Including Answering Service",0,,
Telephone switchboard operators,4223,432021,Telephone Operators,0,,
,5110,397011,Tour Guides and Escorts,3,,
Travel attendants and travel stewards,5111,532031,Flight Attendants,0,,
Travel attendants and travel stewards,5111,536061,"Transportation Attendants, Except Flight Attendants ",0,,
Transport conductors,5112,531031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0,,
Transport conductors,5112,536061,"Transportation Attendants, Except Flight Attendants ",0,,
Travel guides,5113,391021,First-Line Supervisors of Personal Service Workers,0,,
Travel guides,5113,397011,Tour Guides and Escorts,0,,
Travel guides,5113,397012,Travel Guides,0,,
,5120,353031,Waiters and Waitresses,0,,
Housekeepers and related workers,5121,371011,First-Line Supervisors of Housekeeping and Janitorial Workers,1,,
Housekeepers and related workers,5121,399099,"Personal Care and Service Workers, All Other",0,,
Cooks,5122,351011,Chefs and Head Cooks,0,,
Cooks,5122,351012,First-Line Supervisors of Food Preparation and Serving Workers,1,,
Cooks,5122,352011,"Cooks, Fast Food",0,,
Cooks,5122,352012,"Cooks, Institution and Cafeteria",0,,
Cooks,5122,352013,"Cooks, Private Household",0,,
Cooks,5122,352014,"Cooks, Restaurant",0,,
Cooks,5122,352015,"Cooks, Short Order",1,,
Cooks,5122,352019,"Cooks, All Other",0,,
"Waiters, waitresses and bartenders",5123,353011,Bartenders,0,,
"Waiters, waitresses and bartenders",5123,353031,Waiters and Waitresses,0,,
"Waiters, waitresses and bartenders",5123,353041,"Food Servers, Nonrestaurant",0,,
,5130,399021,Personal Care Aides,0,,
Child-care workers,5131,259041,Teacher Assistants,0,,
Child-care workers,5131,391021,First-Line Supervisors of Personal Service Workers,0,,
Child-care workers,5131,399011,Childcare Workers,0,,
Institution-based personal care workers,5132,292041,Emergency Medical Technicians and Paramedics,0,,
Institution-based personal care workers,5132,311013,Psychiatric Aides,0,,
Institution-based personal care workers,5132,311014,Nursing Assistants,0,,
